"ISSN","Título","Área de Avaliação","Estrato"
"2446-7006","ACTA SEMIÓTICA ET LINGVISTICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"0001-706X","ACTA TROPICA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"2525-8923","ACTIO: DOCÊNCIA EM CIÊNCIAS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2215-3535","ACTUALIDADES EN PSICOLOGÍA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"1518-9929","ADM. MADE (UNIVERSIDADE ESTÁCIO DE SÁ)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"1692-0279","AD-MINISTER","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
"2316-7548","ADMINISTRAÇÃO DE EMPRESAS EM REVISTA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1676-9457","ADMINISTRAÇÃO DE EMPRESAS EM REVISTA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"2177-6083","ADMINISTRAÇÃO: ENSINO E PESQUISA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2358-0917","ADMINISTRAÇÃO: ENSINO E PESQUISA (RAEP)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2175-5787","ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2500-5227","ADMINISTRACIÓN Y DESARROLLO (VERSÃO DIGITAL)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"1583-9583","ADMINISTRATIE SI MANAGEMENT PUBLIC","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"0095-3997","ADMINISTRATION & SOCIETY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"0001-8392","ADMINISTRATIVE SCIENCE QUARTERLY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"2076-3387","ADMINISTRATIVE SCIENCES","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"1084-1806","ADMINISTRATIVE THEORY & PRAXIS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A3"
"2237-5139","ADM.MADE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A4"
