"ISSN","Título","Área de Avaliação","Estrato"
"1943-7862","JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT","ENGENHARIAS I                                     ","A1"
"2630-5771","JOURNAL OF CONSTRUCTION ENGINEERING, MANAGEMENT & INNOVATION","ENGENHARIAS I                                     ","B4"
"0143-974X","JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH","ENGENHARIAS I                                     ","A2"
"0169-7722","JOURNAL OF CONTAMINANT HYDROLOGY","ENGENHARIAS I                                     ","A2"
"1815-7440","JOURNAL OF CONTEMPORARY MANAGEMENT","ENGENHARIAS I                                     ","B4"
"2195-3880","JOURNAL OF CONTROL, AUTOMATION AND ELECTRICAL SYSTEMS (IMPRESSO)","ENGENHARIAS I                                     ","A4"
"0168-3659","JOURNAL OF CONTROLLED RELEASE","ENGENHARIAS I                                     ","A1"
"2212-9820","JOURNAL OF CO2 UTILIZATION","ENGENHARIAS I                                     ","A1"
"1975-9479","JOURNAL OF CROP SCIENCE AND BIOTECHNOLOGY (SEOUL)","ENGENHARIAS I                                     ","B1"
"1542-8052","JOURNAL OF CULINARY SCIENCE & TECHNOLOGY","ENGENHARIAS I                                     ","B2"
"2543-683X","JOURNAL OF DATA AND INFORMATION SCIENCE","ENGENHARIAS I                                     ","A3"
"2167-0374","JOURNAL OF DEFENSE MANAGEMENT","ENGENHARIAS I                                     ","C"
"0374-3535","JOURNAL OF ELASTICITY","ENGENHARIAS I                                     ","A3"
"0095-2443","JOURNAL OF ELASTOMERS AND PLASTICS (PRINT)","ENGENHARIAS I                                     ","A4"
"1572-6657","JOURNAL OF ELECTROANALYTICAL CHEMISTRY","ENGENHARIAS I                                     ","A2"
"1934-8975","JOURNAL OF ENERGY AND POWER ENGINEERING","ENGENHARIAS I                                     ","C"
"1558-9250","JOURNAL OF ENGINEERED FIBERS AND FABRICS","ENGENHARIAS I                                     ","B1"
"2338-5502","JOURNAL OF ENGINEERING AND TECHNOLOGICAL SCIENCES","ENGENHARIAS I                                     ","B3"
"2447-0228","JOURNAL OF ENGINEERING AND TECHNOLOGY FOR INDUSTRIAL APPLICATIONS","ENGENHARIAS I                                     ","C"
"0923-4748","JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT","ENGENHARIAS I                                     ","A1"
"0733-9399","JOURNAL OF ENGINEERING MECHANICS","ENGENHARIAS I                                     ","A2"
"2223-8379","JOURNAL OF ENGINEERING, PROJECT, AND PRODUCTION MANAGEMENT","ENGENHARIAS I                                     ","B3"
"1823-4690","JOURNAL OF ENGINEERING SCIENCE & TECHNOLOGY","ENGENHARIAS I                                     ","B1"
"2455-0833","JOURNAL OF ENVIRONMENT AND BIOTECHNOLOGY RESEARCH","ENGENHARIAS I                                     ","B4"
"2525-815X","JOURNAL OF ENVIRONMENTAL ANALYSIS AND PROGRESS","ENGENHARIAS I                                     ","A4"
"1464-3332","JOURNAL OF ENVIRONMENTAL ASSESSMENT POLICY AND MANAGEMENT","ENGENHARIAS I                                     ","A4"
"2213-3437","JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING","ENGENHARIAS I                                     ","A2"
"1648-6897","JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT (PRINT)","ENGENHARIAS I                                     ","A3"
"1496-2551","JOURNAL OF ENVIRONMENTAL ENGINEERING AND SCIENCE","ENGENHARIAS I                                     ","B1"
"0733-9372","JOURNAL OF ENVIRONMENTAL ENGINEERING (NEW YORK, N.Y.)","ENGENHARIAS I                                     ","A3"
"0301-4797","JOURNAL OF ENVIRONMENTAL MANAGEMENT","ENGENHARIAS I                                     ","A1"
"2152-2197","JOURNAL OF ENVIRONMENTAL PROTECTION (PRINT)","ENGENHARIAS I                                     ","A4"
"0047-2425","JOURNAL OF ENVIRONMENTAL QUALITY","ENGENHARIAS I                                     ","A2"
"2162-5301","JOURNAL OF ENVIRONMENTAL SCIENCE AND ENGINEERING A (ONLINE)","ENGENHARIAS I                                     ","B3"
"2162-5263","JOURNAL OF ENVIRONMENTAL SCIENCE AND ENGINEERING B","ENGENHARIAS I                                     ","C"
"1077-1204","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A - ENVIRONMENTAL SCIENCE AND ENGINEERING & TOXIC AND HAZARDOUS SUBSTANCE CONTROL","ENGENHARIAS I                                     ","A4"
"1093-4529","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH. PART A, TOXIC HAZARDOUS SUBSTANCES AND ENVIRONMENTAL ENGINEERING","ENGENHARIAS I                                     ","A4"
"1532-4117","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH. PART A: TOXIC HAZARDOUS SUBSTANCES AND ENVIRONMENTAL ENGINEERING","ENGENHARIAS I                                     ","A4"
"0360-1234","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH. PART B. PESTICIDES, FOOD CONTAMINANTS, AND AGRICULTURAL WASTES","ENGENHARIAS I                                     ","B1"
"1532-4109","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH. PART B: PESTICIDES, FOOD CONTAMINANTS, AND AGRICULTURAL WASTES","ENGENHARIAS I                                     ","B1"
"1001-0742","JOURNAL OF ENVIRONMENTAL SCIENCES","ENGENHARIAS I                                     ","A1"
"0378-8741","JOURNAL OF ETHNOPHARMACOLOGY","ENGENHARIAS I                                     ","A1"
"2358-0348","JOURNAL OF EXACT SCIENCES - JES","ENGENHARIAS I                                     ","B1"
"2457-0591","JOURNAL OF EXPERIMENTAL AGRICULTURE INTERNATIONAL","ENGENHARIAS I                                     ","B4"
"2241-0998","JOURNAL OF FINANCE AND INVESTMENT ANALYSIS","ENGENHARIAS I                                     ","B3"
"1366-4387","JOURNAL OF FINANCIAL MANAGEMENT OF PROPERTY AND CONSTRUCTION","ENGENHARIAS I                                     ","B1"
"0022-1112","JOURNAL OF FISH BIOLOGY","ENGENHARIAS I                                     ","A3"
"1753-318X","JOURNAL OF FLOOD RISK MANAGEMENT","ENGENHARIAS I                                     ","A1"
"0022-1120","JOURNAL OF FLUID MECHANICS (PRINT)","ENGENHARIAS I                                     ","A1"
"0889-9746","JOURNAL OF FLUIDS AND STRUCTURES","ENGENHARIAS I                                     ","A2"
"0022-1139","JOURNAL OF FLUORINE CHEMISTRY","ENGENHARIAS I                                     ","A4"
"0889-1575","JOURNAL OF FOOD COMPOSITION AND ANALYSIS (PRINT)","ENGENHARIAS I                                     ","A2"
"2193-4126","JOURNAL OF FOOD MEASUREMENT AND CHARACTERIZATION","ENGENHARIAS I                                     ","A4"
"0145-8876","JOURNAL OF FOOD PROCESS ENGINEERING","ENGENHARIAS I                                     ","A4"
"1745-4530","JOURNAL OF FOOD PROCESS ENGINEERING","ENGENHARIAS I                                     ","A4"
"1745-4549","JOURNAL OF FOOD PROCESSING AND PRESERVATION","ENGENHARIAS I                                     ","A4"
"0146-9428","JOURNAL OF FOOD QUALITY","ENGENHARIAS I                                     ","A4"
"0022-1155","JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","ENGENHARIAS I                                     ","A3"
"0975-8402","JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","ENGENHARIAS I                                     ","A3"
"0022-1198","JOURNAL OF FORENSIC SCIENCES","ENGENHARIAS I                                     ","A4"
"1007-662X","JOURNAL OF FORESTRY RESEARCH","ENGENHARIAS I                                     ","A4"
"0375-6742","JOURNAL OF GEOCHEMICAL EXPLORATION","ENGENHARIAS I                                     ","A2"
"2081-9943","JOURNAL OF GEODETIC SCIENCE","ENGENHARIAS I                                     ","B2"
"1990-8326","JOURNAL OF GEOENGINEERING","ENGENHARIAS I                                     ","B2"
"2151-1950","JOURNAL OF GEOGRAPHIC INFORMATION SYSTEM","ENGENHARIAS I                                     ","A3"
"2151-1969","JOURNAL OF GEOGRAPHIC INFORMATION SYSTEM","ENGENHARIAS I                                     ","A3"
"2328-2193","JOURNAL OF GEOLOGICAL RESOURCE AND ENGINEERING","ENGENHARIAS I                                     ","B4"
"2169-897X","JOURNAL OF GEOPHYSICAL RESEARCH: ATMOSPHERES (IMPRESSO)","ENGENHARIAS I                                     ","A1"
"2169-8961","JOURNAL OF GEOPHYSICAL RESEARCH: BIOGEOSCIENCES","ENGENHARIAS I                                     ","A2"
"2169-9275","JOURNAL OF GEOPHYSICAL RESEARCH: OCEANS (PRINT)","ENGENHARIAS I                                     ","A1"
"2169-9380","JOURNAL OF GEOPHYSICAL RESEARCH: SPACE PHYSICS","ENGENHARIAS I                                     ","A2"
"2327-4344","JOURNAL OF GEOSCIENCE AND ENVIRONMENT PROTECTION","ENGENHARIAS I                                     ","A4"
"2526-1746","JOURNAL OF GEOSPATIAL MODELLING","ENGENHARIAS I                                     ","B4"
"1090-0241","JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING","ENGENHARIAS I                                     ","A1"
"2509-8810","JOURNAL OF GEOVISUALIZATION AND SPATIAL ANALYSIS","ENGENHARIAS I                                     ","B1"
"2213-7165","JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE","ENGENHARIAS I                                     ","A3"
"2455-2445","JOURNAL OF GLOBAL RESOURCES","ENGENHARIAS I                                     ","B3"
"0304-3894","JOURNAL OF HAZARDOUS MATERIALS (PRINT)","ENGENHARIAS I                                     ","A1"
"2153-5515","JOURNAL OF HAZARDOUS, TOXIC, AND RADIOACTIVE WASTE","ENGENHARIAS I                                     ","A4"
"2317-3084","JOURNAL OF HEALTH AND BIOLOGICAL SCIENCES","ENGENHARIAS I                                     ","B3"
"2472-3584","JOURNAL OF HEALTH AND ENVIRONMENTAL RESEARCH","ENGENHARIAS I                                     ","B4"
"0022-1481","JOURNAL OF HEAT TRANSFER","ENGENHARIAS I                                     ","A3"
"1945-2829","JOURNAL OF HUMAN DEVELOPMENT AND CAPABILITIES","ENGENHARIAS I                                     ","A2"
"1943-7900","JOURNAL OF HYDRAULIC ENGINEERING","ENGENHARIAS I                                     ","A2"
"0733-9429","JOURNAL OF HYDRAULIC ENGINEERING (NEW YORK, N. Y.)","ENGENHARIAS I                                     ","A2"
"0022-1686","JOURNAL OF HYDRAULIC RESEARCH","ENGENHARIAS I                                     ","A2"
"1464-7141","JOURNAL OF HYDROINFORMATICS","ENGENHARIAS I                                     ","A3"
"1084-0699","JOURNAL OF HYDROLOGIC ENGINEERING","ENGENHARIAS I                                     ","A3"
"0022-1694","JOURNAL OF HYDROLOGY (AMSTERDAM)","ENGENHARIAS I                                     ","A1"
"2214-5818","JOURNAL OF HYDROLOGY: REGIONAL STUDIES","ENGENHARIAS I                                     ","A1"
"2589-9155","JOURNAL OF HYDROLOGY X","ENGENHARIAS I                                     ","B2"
"2237-2202","JOURNAL OF HYPERSPECTRAL REMOTE SENSING","ENGENHARIAS I                                     ","B2"
"1088-1980","JOURNAL OF INDUSTRIAL ECOLOGY","ENGENHARIAS I                                     ","A1"
"1076-0342","JOURNAL OF INFRASTRUCTURE SYSTEMS","ENGENHARIAS I                                     ","A3"
"1574-1443","JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS (PRINT)","ENGENHARIAS I                                     ","A3"
"1943-815X","JOURNAL OF INTEGRATIVE ENVIRONMENTAL SCIENCES (IMPRESSO)","ENGENHARIAS I                                     ","A2"
"1573-7675","JOURNAL OF INTELLIGENT INFORMATION SYSTEMS (DORDRECHT. ONLINE)","ENGENHARIAS I                                     ","A3"
"2364-3404","JOURNAL OF INTERNATIONAL HUMANITARIAN ACTION","ENGENHARIAS I                                     ","A4"
"0976-7428","JOURNAL OF INTERNATIONAL ORAL HEALTH","ENGENHARIAS I                                     ","B2"
"0733-9437","JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING","ENGENHARIAS I                                     ","A2"
"1018-3647","JOURNAL OF KING SAUD UNIVERSITY - SCIENCE","ENGENHARIAS I                                     ","A3"
"1548-5811","JOURNAL OF LATIN AMERICAN GEOGRAPHY","ENGENHARIAS I                                     ","A3"
"2448-0266","JOURNAL OF LEAN SYSTEMS","ENGENHARIAS I                                     ","B3"
"1934-7391","JOURNAL OF LIFE SCIENCES","ENGENHARIAS I                                     ","B2"
"1723-8633","JOURNAL OF LIMNOLOGY (ONLINE)","ENGENHARIAS I                                     ","A3"
"1129-5767","JOURNAL OF LIMNOLOGY (TESTO STAMPATO)","ENGENHARIAS I                                     ","A3"
"0950-4230","JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES","ENGENHARIAS I                                     ","A2"
"1461-3484","JOURNAL OF LOW FREQUENCY NOISE, VIBRATION AND ACTIVE CONTROL","ENGENHARIAS I                                     ","A4"
"1925-4733","JOURNAL OF MANAGEMENT AND SUSTAINABILITY","ENGENHARIAS I                                     ","A3"
"0742-597X","JOURNAL OF MANAGEMENT IN ENGINEERING","ENGENHARIAS I                                     ","A1"
"2504-4494","JOURNAL OF MANUFACTURING AND MATERIALS PROCESSING","ENGENHARIAS I                                     ","C"
"0278-6125","JOURNAL OF MANUFACTURING SYSTEMS","ENGENHARIAS I                                     ","A1"
"1741-038X","JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT","ENGENHARIAS I                                     ","A1"
"1671-9433","JOURNAL OF MARINE SCIENCE AND APPLICATION","ENGENHARIAS I                                     ","A4"
"2077-1312","JOURNAL OF MARINE SCIENCE AND ENGINEERING","ENGENHARIAS I                                     ","A4"
"0948-4280","JOURNAL OF MARINE SCIENCE AND TECHNOLOGY (PRINT)","ENGENHARIAS I                                     ","A3"
"0924-7963","JOURNAL OF MARINE SYSTEMS","ENGENHARIAS I                                     ","A1"
"1076-5174","JOURNAL OF MASS SPECTROMETRY (PRINT)","ENGENHARIAS I                                     ","B1"
"1438-4957","JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT (PRINT)","ENGENHARIAS I                                     ","A3"
"2050-7488","JOURNAL OF MATERIALS CHEMISTRY A","ENGENHARIAS I                                     ","A1"
"2050-750X","JOURNAL OF MATERIALS CHEMISTRY B","ENGENHARIAS I                                     ","A1"
"0899-1561","JOURNAL OF MATERIALS IN CIVIL ENGINEERING","ENGENHARIAS I                                     ","A2"
"0924-0136","JOURNAL OF MATERIALS PROCESSING TECHNOLOGY","ENGENHARIAS I                                     ","A1"
"0884-2914","JOURNAL OF MATERIALS RESEARCH","ENGENHARIAS I                                     ","A2"
"2238-7854","JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY","ENGENHARIAS I                                     ","A1"
"0022-2461","JOURNAL OF MATERIALS SCIENCE","ENGENHARIAS I                                     ","A1"
"1573-4803","JOURNAL OF MATERIALS SCIENCE (DORDRECHT. ONLINE)","ENGENHARIAS I                                     ","A1"
"0957-4522","JOURNAL OF MATERIALS SCIENCE. MATERIALS IN ELECTRONICS","ENGENHARIAS I                                     ","A3"
"1916-9795","JOURNAL OF MATHEMATICS RESEARCH","ENGENHARIAS I                                     ","B4"
"2456-219X","JOURNAL OF MECHANICAL ENGINEERING AND BIOMECHANICS","ENGENHARIAS I                                     ","B4"
"1738-494X","JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY (SEOUL. PRINT)","ENGENHARIAS I                                     ","A4"
"2159-5275","JOURNAL OF MECHANICS ENGINEERING AND AUTOMATION","ENGENHARIAS I                                     ","B3"
"2595-3230","JOURNAL OF MECHATRONICS ENGINEERING","ENGENHARIAS I                                     ","C"
"0022-2585","JOURNAL OF MEDICAL ENTOMOLOGY","ENGENHARIAS I                                     ","A1"
"0146-6615","JOURNAL OF MEDICAL VIROLOGY (PRINT)","ENGENHARIAS I                                     ","B1"
"1929-6037","JOURNAL OF MEMBRANE AND SEPARATION TECHNOLOGY","ENGENHARIAS I                                     ","B4"
"0376-7388","JOURNAL OF MEMBRANE SCIENCE (PRINT)","ENGENHARIAS I                                     ","A1"
"0167-7012","JOURNAL OF MICROBIOLOGICAL METHODS","ENGENHARIAS I                                     ","B1"
"0265-2048","JOURNAL OF MICROENCAPSULATION","ENGENHARIAS I                                     ","A3"
"2317-3963","JOURNAL OF MODERN PROJECT MANAGEMENT","ENGENHARIAS I                                     ","B2"
"0167-7322","JOURNAL OF MOLECULAR LIQUIDS (PRINT)","ENGENHARIAS I                                     ","A1"
"0022-2860","JOURNAL OF MOLECULAR STRUCTURE (PRINT)","ENGENHARIAS I                                     ","A3"
"1672-6316","JOURNAL OF MOUNTAIN SCIENCE","ENGENHARIAS I                                     ","A3"
"2458-9403","JOURNAL OF MULTIDISCIPLINARY ENGINEERING SCIENCE AND TECHNOLOGY","ENGENHARIAS I                                     ","C"
"1756-9737","JOURNAL OF MULTISCALE MODELLING (PRINT)","ENGENHARIAS I                                     ","B2"
"1388-0764","JOURNAL OF NANOPARTICLE RESEARCH","ENGENHARIAS I                                     ","A2"
"1533-4880","JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY","ENGENHARIAS I                                     ","B2"
"2377-1372","JOURNAL OF NANOTECHNOLOGY AND MATERIALS SCIENCE","ENGENHARIAS I                                     ","C"
"1544-0478","JOURNAL OF NATURAL FIBERS","ENGENHARIAS I                                     ","A1"
"1875-5100","JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING","ENGENHARIAS I                                     ","A1"
"0195-9298","JOURNAL OF NONDESTRUCTIVE EVALUATION","ENGENHARIAS I                                     ","A3"
"2198-6444","JOURNAL OF OCEAN ENGINEERING AND MARINE ENERGY (PRINT)","ENGENHARIAS I                                     ","A1"
"0892-7219","JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING","ENGENHARIAS I                                     ","A4"
"2199-8531","JOURNAL OF OPEN INNOVATION: TECHNOLOGY, MARKET, AND COMPLEXITY (JOITMC)","ENGENHARIAS I                                     ","A1"
"0272-6963","JOURNAL OF OPERATIONS MANAGEMENT","ENGENHARIAS I                                     ","A1"
"0305-182X","JOURNAL OF ORAL REHABILITATION (PRINT)","ENGENHARIAS I                                     ","A2"
"0953-4814","JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT","ENGENHARIAS I                                     ","A2"
"0887-3828","JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES","ENGENHARIAS I                                     ","A2"
"2190-0558","JOURNAL OF PETROLEUM EXPLORATION AND PRODUCTION TECHNOLOGY","ENGENHARIAS I                                     ","A4"
"0920-4105","JOURNAL OF PETROLEUM SCIENCE & ENGINEERING","ENGENHARIAS I                                     ","A1"
"0731-7085","JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS (PRINT)","ENGENHARIAS I                                     ","A2"
"1010-6030","JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY. A, CHEMISTRY","ENGENHARIAS I                                     ","A2"
"1011-1344","JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY. B, BIOLOGY","ENGENHARIAS I                                     ","A1"
"1932-7447","JOURNAL OF PHYSICAL CHEMISTRY. C","ENGENHARIAS I                                     ","A1"
"2247-8051","JOURNAL OF PHYSICAL EDUCATION AND SPORT","ENGENHARIAS I                                     ","A4"
"0953-8984","JOURNAL OF PHYSICS. CONDENSED MATTER (PRINT)","ENGENHARIAS I                                     ","A3"
"0142-7873","JOURNAL OF PLANKTON RESEARCH","ENGENHARIAS I                                     ","A2"
"1742-9145","JOURNAL OF PLANT INTERACTIONS (PRINT)","ENGENHARIAS I                                     ","A2"
"1566-2543","JOURNAL OF POLYMERS AND THE ENVIRONMENT","ENGENHARIAS I                                     ","A2"
"1572-8919","JOURNAL OF POLYMERS AND THE ENVIRONMENT (ONLINE)","ENGENHARIAS I                                     ","A2"
"2327-5901","JOURNAL OF POWER AND ENERGY ENGINEERING","ENGENHARIAS I                                     ","C"
"0959-1524","JOURNAL OF PROCESS CONTROL","ENGENHARIAS I                                     ","A1"
"1052-3928","JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE","ENGENHARIAS I                                     ","A2"
"0236-5731","JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY (PRINT)","ENGENHARIAS I                                     ","A4"
"0377-0486","JOURNAL OF RAMAN SPECTROSCOPY","ENGENHARIAS I                                     ","A3"
"0731-6844","JOURNAL OF REINFORCED PLASTICS AND COMPOSITES (PRINT)","ENGENHARIAS I                                     ","A2"
"1941-7012","JOURNAL OF RENEWABLE AND SUSTAINABLE ENERGY","ENGENHARIAS I                                     ","A4"
"2164-6341","JOURNAL OF RENEWABLE MATERIALS","ENGENHARIAS I                                     ","B1"
"1911-8074","JOURNAL OF RISK AND FINANCIAL MANAGEMENT (VERSÃO DIGITAL)","ENGENHARIAS I                                     ","B2"
"1366-9877","JOURNAL OF RISK RESEARCH (PRINT)","ENGENHARIAS I                                     ","A2"
"1674-7755","JOURNAL OF ROCK MECHANICS AND GEOTECHNICAL ENGINEERING","ENGENHARIAS I                                     ","A1"
"0022-4375","JOURNAL OF SAFETY RESEARCH","ENGENHARIAS I                                     ","A1"
"1527-1404","JOURNAL OF SEDIMENTARY RESEARCH","ENGENHARIAS I                                     ","A2"
"1383-4649","JOURNAL OF SEISMOLOGY","ENGENHARIAS I                                     ","A4"
"1615-9306","JOURNAL OF SEPARATION SCIENCE (PRINT)","ENGENHARIAS I                                     ","A3"
"1747-7778","JOURNAL OF SIMULATION (PRINT)","ENGENHARIAS I                                     ","A2"
"2588-2872","JOURNAL OF SOFT COMPUTING IN CIVIL ENGINEERING","ENGENHARIAS I                                     ","B3"
"0022-4561","JOURNAL OF SOIL AND WATER CONSERVATION","ENGENHARIAS I                                     ","A2"
"0718-9516","JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION (ONLINE)","ENGENHARIAS I                                     ","A2"
"1439-0108","JOURNAL OF SOILS AND SEDIMENTS (PRINT)","ENGENHARIAS I                                     ","A2"
"0928-0707","JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY","ENGENHARIAS I                                     ","A3"
"1662-9779","JOURNAL OF SOLID STATE PHENOMENA","ENGENHARIAS I                                     ","B2"
"0022-460X","JOURNAL OF SOUND AND VIBRATION","ENGENHARIAS I                                     ","A1"
"0895-9811","JOURNAL OF SOUTH AMERICAN EARTH SCIENCES","ENGENHARIAS I                                     ","A2"
"0022-4650","JOURNAL OF SPACECRAFT AND ROCKETS","ENGENHARIAS I                                     ","A3"
"2183-1912","JOURNAL OF SPATIAL AND ORGANIZATIONAL DYNAMICS (ONLINE)","ENGENHARIAS I                                     ","A4"
"0094-9655","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION (PRINT)","ENGENHARIAS I                                     ","A4"
"0378-3758","JOURNAL OF STATISTICAL PLANNING AND INFERENCE (PRINT)","ENGENHARIAS I                                     ","A3"
"0022-474X","JOURNAL OF STORED PRODUCTS RESEARCH","ENGENHARIAS I                                     ","A2"
"0309-3247","JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN","ENGENHARIAS I                                     ","A3"
"0733-9445","JOURNAL OF STRUCTURAL ENGINEERING (NEW YORK, N.Y.)","ENGENHARIAS I                                     ","A1"
"2040-2317","JOURNAL OF STRUCTURAL FIRE ENGINEERING","ENGENHARIAS I                                     ","B1"
"0191-8141","JOURNAL OF STRUCTURAL GEOLOGY","ENGENHARIAS I                                     ","A1"
"0896-8446","JOURNAL OF SUPERCRITICAL FLUIDS","ENGENHARIAS I                                     ","A1"
"1558-9293","JOURNAL OF SURFACTANTS AND DETERGENTS","ENGENHARIAS I                                     ","A3"
"0733-9453","JOURNAL OF SURVEYING ENGINEERING","ENGENHARIAS I                                     ","A2"
"1913-9063","JOURNAL OF SUSTAINABLE DEVELOPMENT (IMPRESSO)","ENGENHARIAS I                                     ","A3"
"1848-9257","JOURNAL OF SUSTAINABLE DEVELOPMENT OF ENERGY, WATER AND ENVIRONMENT SYSTEMS","ENGENHARIAS I                                     ","A4"
"1690-4524","JOURNAL OF SYSTEMICS, CYBERNETICS AND INFORMATICS","ENGENHARIAS I                                     ","A4"
"0718-2724","JOURNAL OF TECHNOLOGY MANAGEMENT & INNOVATION","ENGENHARIAS I                                     ","A2"
"0090-3973","JOURNAL OF TESTING AND EVALUATION","ENGENHARIAS I                                     ","A4"
"1945-7553","JOURNAL OF TESTING AND EVALUATION","ENGENHARIAS I                                     ","A4"
"0022-4901","JOURNAL OF TEXTURE STUDIES","ENGENHARIAS I                                     ","A3"
"0002-7820","JOURNAL OF THE AMERICAN CERAMIC SOCIETY","ENGENHARIAS I                                     ","A1"
"1093-474X","JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION","ENGENHARIAS I                                     ","A2"
"0022-4928","JOURNAL OF THE ATMOSPHERIC SCIENCES","ENGENHARIAS I                                     ","A2"
"0004-881X","JOURNAL OF THE AUSTRALIAN CERAMIC SOCIETY","ENGENHARIAS I                                     ","A4"
"0103-5053","JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (IMPRESSO)","ENGENHARIAS I                                     ","A2"
"1678-4790","JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (ONLINE)","ENGENHARIAS I                                     ","A2"
"1678-5878","JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING (IMPRESSO)","ENGENHARIAS I                                     ","A4"
"1806-3691","JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING (ONLINE)","ENGENHARIAS I                                     ","A4"
"1743-9671","JOURNAL OF THE ENERGY INSTITUTE (PRINT)","ENGENHARIAS I                                     ","A1"
"0955-2219","JOURNAL OF THE EUROPEAN CERAMIC SOCIETY","ENGENHARIAS I                                     ","A1"
"0016-0032","JOURNAL OF THE FRANKLIN INSTITUTE","ENGENHARIAS I                                     ","A1"
"0972-172X","JOURNAL OF THE INDIAN ACADEMY OF WOOD SCIENCE","ENGENHARIAS I                                     ","B1"
"1996-9015","JOURNAL OF THE INTERNATIONAL ASSOCIATION FOR SHELL AND SPATIAL STRUCTURES","ENGENHARIAS I                                     ","B1"
"1880-3717","JOURNAL OF THE JAPAN SOCIETY OF NAVAL ARCHITECTS AND OCEAN ENGINEERS","ENGENHARIAS I                                     ","B3"
"1881-1760","JOURNAL OF THE JAPAN SOCIETY OF NAVAL ARCHITECTS AND OCEAN ENGINEERS","ENGENHARIAS I                                     ","B3"
"1868-7873","JOURNAL OF THE KNOWLEDGE ECONOMY (ONLINE)","ENGENHARIAS I                                     ","A2"
"0025-3154","JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM (PRINT)","ENGENHARIAS I                                     ","A4"
"1751-6161","JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS (PRINT)","ENGENHARIAS I                                     ","A1"
"0160-5682","JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY","ENGENHARIAS I                                     ","A2"
"0022-5142","JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","ENGENHARIAS I                                     ","A2"
"1429-2955","JOURNAL OF THEORETICAL AND APPLIED MECHANICS (WARSAW)","ENGENHARIAS I                                     ","B1"
"1388-6150","JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY","ENGENHARIAS I                                     ","A3"
"1588-2926","JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY (ONLINE)","ENGENHARIAS I                                     ","A3"
"0306-4565","JOURNAL OF THERMAL BIOLOGY","ENGENHARIAS I                                     ","A1"
"0892-7057","JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS","ENGENHARIAS I                                     ","A4"
"1528-7394","JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH. PART A: CURRENT ISSUES","ENGENHARIAS I                                     ","A3"
"0946-672X","JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY","ENGENHARIAS I                                     ","A2"
