Sigla,Nome do evento,Estrato,quadrienio
ISSI,International Society of Scientometrics and Informetrics Conference,B2,2017-2020
ISSRE,IEEE International Symposium on Software Reliability Engineering,A3,2017-2020
ISSREW,IEEE International Symposium on Software Reliability Engineering Workshops,B3,2017-2020
ISSTA,International Symposium on Software Testing and Analysis,A1,2017-2020
ISTAR,International i*Workshop,B4,2017-2020
ISVC,International Symposium on Visual Computing,A4,2017-2020
ISVLSI,IEEE Computer Society Annual Symposium on VLSI,A3,2017-2020
ISW,Information Security Conference,A4,2017-2020
ISWC,International Semantic Web Conference,A1,2017-2020
ISWCS,International Symposium on Wireless Communication Systems,A3,2017-2020
ITC,International Test Conference,A4,2017-2020
ITCS,Conference on Innovations in Theoretical Computer Science,A2,2017-2020
ITDRR,Information Technology in Disaster Risk Reduction,B3,2017-2020
ITHET,International Conference on Information Technology Based Higher Education and Training,B1,2017-2020
ITICSE,Conference on Innovation and Technology in Computer Science Education,A3,2017-2020
ITNG,International Conference on Information Technology : New Generations,B4,2017-2020
ITP,International Conference on Interactive Theorem Proving,A3,2017-2020
ITS,International Conference on Intelligent Tutoring Systems,A3,2017-2020
ITSC,IEEE International Conference on Intelligent Transportation Systems,A1,2017-2020
ITSS,Interactive Tabletops and Surfaces,B4,2017-2020
IUI,International Conference on Intelligent User Interfaces,A1,2017-2020
IV,International Conference on Information Visualization,B1,2017-2020
IVA,International Conference on Intelligent Virtual Agents,A3,2017-2020
IVAPP,International Conference on Information Visualization Theory and Applications,B2,2017-2020
IWANN,International Work-Conference on Artificial Neural Networks,B1,2017-2020
IWBBIO,International Work-Conference on Bioinformatics and Biomedical Engineering,A3,2017-2020
IWBF,International Workshop on Biometrics and Forensics,A4,2017-2020
IWCMC,International Wireless Communications and Mobile Computing Conference,A2,2017-2020
IWCS,International Workshop on Computational Semantics,B4,2017-2020
IWCTS,International Workshop on Computational Transportation Science,B2,2017-2020
IWGS,ACM Workshop on GeoStreaming,B3,2017-2020
IWOCA,International Workshop on Combinatorial Algorithms,B2,2017-2020
IWOMP,International Workshop on OpenMP,B1,2017-2020
IWS,Iberchip Workshop,B4,2017-2020
IWSECO,International Workshop on Software Ecosystems,B3,2017-2020
IWSSIP,"International Conference on Systems, Signals and Image Processing",A3,2017-2020
jAUTI,Iberoamerican Conference on Applications and Usability of Interactive TV,B4,2017-2020
JCDL,ACM/IEEE Joint Conference on Digital Libraries,A3,2017-2020
JCSG,Joint International Conference on Serious Games,B2,2017-2020
JSSPP,Workshop on Job Scheduling Strategies for Parallel Processing,B3,2017-2020
JURIX,International Conference on Legal Knowledge and Information Systems,B1,2017-2020
KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,A1,2017-2020
KDIR,International Conference on Knowledge Discovery and Information Retrieval,B1,2017-2020
KDMILE,"Symposium on Knowledge Discovery, Mining and Learning",B3,2017-2020
KEPS,Workshop on Knowledge Engineering for Planning and Scheduling,B4,2017-2020
KES,International Conference on Knowledge-Based and Intelligent Information & Engineering Systems,B4,2017-2020
KESAMSTA,International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications,B3,2017-2020
KESW,International Conference on Knowledge Engineering and Semantic Web,B2,2017-2020
KMO,International Conference on Knowledge Management in Organizations,B2,2017-2020
KR,International Conference on Principles of Knowledge Representation and Reasoning,A3,2017-2020
L@S,ACM Conference on Learning @ Scale,A2,2017-2020
LA-CCI,Latin American Conference on Computational Intelligence,B2,2017-2020
LAC,Linux Audio Conference,B2,2017-2020
LACLO,Latin American Conference on Learning Objects and Technologies,B3,2017-2020
LADC,Latin-American Symposium on Dependable Computing,A4,2017-2020
LAGIRS,IEEE Latin American GRSS & ISPRS Remote Sensing Conference,B3,2017-2020
LAGOS,"Latin-American Algorithms, Graphs and Optimization Symposium",B4,2017-2020
LAK,International Learning Analytics and Knowledge Conference,A1,2017-2020
LANC,Latin American Networking Conference,B3,2017-2020
LANMAN,IEEE International Symposium on Local and Metropolitan Area Networks,B1,2017-2020
LANOMS,Latin American Network Operations and Management Symposium,B4,2017-2020
LARS,IEEE Latin American Robotics Symposium,B1,2017-2020
LASCAS,IEEE Latin American Symposium on Circuits and Systems,A4,2017-2020
LATIN,Latin American Theoretical Informatics Symposium,A3,2017-2020
LATINCLOUD,IEEE Latin America Conference on Cloud Computing and Communications,B4,2017-2020
LATINCOM,IEEE Latin-American Conference on Communications,B1,2017-2020
LATINCRYPT,International Conference on Cryptology and Information Security in Latin America,B2,2017-2020
LATINOWARE,Congresso Latino-americano de Software Livre e Tecnologias Abertas,B4,2017-2020
LATS,IEEE Latin American Test Symposium,B1,2017-2020
LAW,Linguistic Annotation Workshop,A3,2017-2020
LAWCG,Latin American Workshop on Cliques in Graphs,B4,2017-2020
LAWCN,Latin-American Workshop on Computational Neuroscience,B4,2017-2020
LAWEB,Latin American Web Congress,B4,2017-2020
LCN,IEEE Conference on Local Computer Networks,A3,2017-2020
LCTES,"ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems",B1,2017-2020
LCTRTS,"ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Real-Time Systems",B4,2017-2020
LDAV,IEEE Symposium on Large Data Analysis and Visualization,B4,2017-2020
LFCS,Symposium on Logical Foundations of Computer Science,B2,2017-2020
LICS,ACM/IEEE Symposium on Logic in Computer Science,A2,2017-2020
LIDTA,Workshop on Learning with Imbalanced Domains: Theory and Applications,B2,2017-2020
LINKDEM,Workshop on Linked Democracy : Artificial Intelligence for Democratic Innovation,B4,2017-2020
LION,Learning and Intelligent Optimization Conference,B1,2017-2020
LMCS,Logical Methods in Computer Science,A3,2017-2020
LocalRec,"International Workshop on Location-Based Recommendations, Geosocial Networks and Geoadvertising",B4,2017-2020
LocWeb,International Workshop on Location and the Web,B3,2017-2020
LoPaS,Location Privacy and Security Workshop,B4,2017-2020
LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,B1,2017-2020
LREC,International Conference on Language Resources and Evaluation,A1,2017-2020
LSFA,"International Workshop on Logical and Semantic Frameworks, with Applications",B3,2017-2020
LTEC,International Workshop on Learning Technology for Education Challenges,B3,2017-2020
M4IOT,Workshop on Middleware for Context-Aware Applications in the IoT,B4,2017-2020
MABS,International Workshop on Multi-Agent Based Simulation,B3,2017-2020
MANSDNNFV,International Workshop on Management of SDN and NFV Systems,B4,2017-2020
MASCOTS,"International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",A4,2017-2020
MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems,A4,2017-2020
MASS2,IEEE International Conference on Mobile Ad-Hoc and Smart Systems,B4,2017-2020
MATES,German Conference on Multiagent System Technologies,B3,2017-2020
MCDM,International Conference on Multiple Criteria Decision Making,B4,2017-2020
MCM,International Conference on Mathematics and Computation in Music,B3,2017-2020
MCPR2,Mexican Conference on Pattern Recognition,B3,2017-2020
MCSoC,International Symposium on Embedded Multicore/Many-core Systems-on-Chip,B2,2017-2020
MDAI,International Conference on Modeling Decisions for Artificial Intelligence,B2,2017-2020
MDM,IEEE International Conference on Mobile Data Management,A3,2017-2020
MED,Mediterranean Conference on Control and Automation,A3,2017-2020
MedComNet,Mediterranean Communication and Computer Networking Conference,B4,2017-2020
MEDES,International Conference on Management of Emergent Digital EcoSystems,B4,2017-2020
MEDHOCNET,Mediterranean Ad Hoc Networking Workshop,A4,2017-2020
MEDINFO,World Congress on Medical and Health Informatics,A2,2017-2020
MEMEA,IEEE International Symposium on Medical Measurements and Applications,A4,2017-2020
MEMSYS,International Symposium on Memory Systems,A4,2017-2020
MEPDaW,Managing the Evolution and Preservation of the Data Web,B4,2017-2020
MESA,IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications,B1,2017-2020
META,International Workshop on Meta-Programming Techniques and Reflection,B4,2017-2020
MetaLearn,Workshop on Meta-Learning,B4,2017-2020
MFCS,International Symposium on Mathematical Foundations of Computer Science,A3,2017-2020
MFI,IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems,B1,2017-2020
MIC,Metaheuristics International Conference,B3,2017-2020
MICAI,Mexican International Conference on Artificial Intelligence,B2,2017-2020
MICRO,IEEE/ACM International Symposium on Microarchitecture,A1,2017-2020
MIDDLEWARE,International Middleware Conference,A3,2017-2020
MIE,Medical Informatics Europe,A2,2017-2020
MIG,ACM Siggraph Conference on Motion in Games,A4,2017-2020
MILCOM,Military Communications Conference,A2,2017-2020
MISE,Workshop on Modeling in Software Engineering,B3,2017-2020
MIXDES,International Conference on Mixed Design of Integrated Circuits and Systems,B2,2017-2020
ML4H,Machine Learning for Health,B1,2017-2020
MLDM,International Conference on Machine Learning and Data Mining in Pattern Recognition,B1,2017-2020
MLOBD,"International Workshop on Machine Learning, Optimization and Big Data",B2,2017-2020
MLSP,IEEE International Workshop on Machine Learning for Signal Processing,A3,2017-2020
MMAR,International Conference on Methods and Models in Automation and Robotics,A4,2017-2020
MMM,International Conference on Multimedia Modelling,A3,2017-2020
MMRP,International Workshop on Multilayer Music Representation and Processing,B2,2017-2020
MMSP,International Workshop on Multimedia and Signal Processing,A3,2017-2020
MMSYS,ACM Multimedia Systems Conference,A2,2017-2020
MNR,Mostra Nacional de Robótica,B4,2017-2020
MobiArch,Workshop on Mobility in the Evolving Internet Architecture,B3,2017-2020
MOBICOM,ACM/IEEE International Conference on Mobile Computing and Networking,A1,2017-2020
MOBIHOC,ACM International Symposium on Mobile Ad Hoc Networking and Computing,A2,2017-2020
MOBILEHCI,International Conference on Human-Computer Interaction with Mobile Devices and Services,A2,2017-2020
MOBILESOFT,International Conference on Mobile Software Engineering and Systems,A3,2017-2020
MOBIQUITOUS,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",A4,2017-2020
MobiSys,"Annual International Conference on Mobile Systems, Applications, and Services",A1,2017-2020
MOBIWAC,ACM International Symposium on Mobility Management and Wireless Access,B2,2017-2020
MOCO,International Conference on Movement and Computing,B1,2017-2020
MODELS,International Conference on Model Driven Engineering Languages and Systems,A3,2017-2020
MODELSWARD,International Conference on Model-Driven Engineering and Software Development,A4,2017-2020
MODRE,International Model-Driven Requirements Engineering,B4,2017-2020
MODULARITY,International Conference on Modularity,B4,2017-2020
MoMM,International Conference on Advances in Mobile Computing & Multimedia,B2,2017-2020
MRS,International Symposium on Multi-Robot and Multi-Agent Systems,B1,2017-2020
MSN,International Conference on Mobile Ad-Hoc and Sensor Networks,B2,2017-2020
MSR,Working Conference on Mining Software Repositories,A1,2017-2020
MSSiS,Workshop deModelagem e Simulação de Sistemas Intensivos em Software,B4,2017-2020
MSST,IEEE Symposium on Mass Storage Systems and Technologies,B2,2017-2020
MSWIM,"ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",A4,2017-2020
MTSR,International Conference on Metadata and Semantics Research,B2,2017-2020
MULTI,International Workshop on Multi-Level Modeling,B4,2017-2020
MULTITEMP,International Workshop on the Analysis of Multitemporal Remote Sensing Images,B2,2017-2020
MUM,International Conference on Mobile and Ubiquitous Multimedia,A4,2017-2020
MVA,IAPR International Conference on Machine Vision Applications,A3,2017-2020
MWE,Workshop on Multiword Expressions,B2,2017-2020
MWSCAS,International Midwest Symposium on Circuits and Systems,A4,2017-2020
NAACL,North American Chapter of the Association for Computational Linguistics Annual Meeting,A1,2017-2020
NAFIPS,Annual Conference of the North American Fuzzy Information Processing Society,B1,2017-2020
NCA,IEEE International Symposium on Network Computing and Applications,A4,2017-2020
NDSS,Network and Distributed System Security Symposium,A1,2017-2020
NESY@HLAI,Workshop on Neural-Symbolic Learning and Reasoning,B4,2017-2020
NETSOFT,IEEE Conference on Network Softwarization,A2,2017-2020
NetSys,International Conference on Networked Systems,B2,2017-2020
NETWORKING,IFIP Networking Conference,A3,2017-2020
NETWORKS,International Telecommunications Network Strategy and Planning Symposium,B2,2017-2020
NeurIPS,Neural Information Processing Systems,A1,2017-2020
NEW2AN,"International Conference on Internet of Things, Smart Spaces, and Next Generation Networks and Systems",B4,2017-2020
NEWCAS,IEEE International New Circuits and Systems Conference,B2,2017-2020
NFM,NASA Formal Methods Symposium,A3,2017-2020
NFV-SDN,IEEE Conference on Network Function Virtualization and Software Defined Networks,A4,2017-2020
NHT,Workshop on Narrative and Hypertext,B4,2017-2020
NIME,International Conference on New Interfaces for Musical Expression,A3,2017-2020
NLDB,International Conference on Application of Natural Language to Information Systems,B1,2017-2020
NOCS,ACM/IEEE International Symposium on Networks-on-Chip,A3,2017-2020
NOF,International Conference on Network of the Future,B1,2017-2020
NOMS,IEEE/IFIP Network Operations and Management Symposium,A2,2017-2020
NORCAS,Nordic Circuits and Systems Conference,B3,2017-2020
NordiCHI,Nordic Conference on Human-Computer Interaction,A3,2017-2020
NSDI,Networked Systems Design and Implementation,A1,2017-2020
NSS,Network and System Security,B2,2017-2020
NSV,International Workshop on Numerical Software Verification,B3,2017-2020
NTMS,"IFIP International Conference on New Technologies, Mobility and Security",A3,2017-2020
OCEAN,IEEE Oceans Conference,B1,2017-2020
OM,International Workshop on Ontology Matching,A4,2017-2020
ONDM,Conference on Optical Network Design and Modeling,B1,2017-2020
ONTOBRAS,Seminar on Ontology Research in Brazil,B3,2017-2020
Onward!,Onward!,B3,2017-2020
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",B3,2017-2020
OpenSym,International Symposium on Open Collaboration,B1,2017-2020
OPODIS,International Conference on Principles of Distributed Systems,A3,2017-2020
OR,International Conference on Operations Research,B3,2017-2020
OSDI,USENIX Symposium on Operating Systems Design and Implementation,A1,2017-2020
OSS,International Conference on Open Source Systems,B1,2017-2020
OzCHI,Australian Conference on Human-Computer Interaction,A3,2017-2020
PAAMS,"International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability",A3,2017-2020
PAAR,Practical Aspects of Automated Reasoning,B4,2017-2020
PACBB,International Conference on Practical Applications of Computational Biology & Bioinformatics,B1,2017-2020
PacificVis,IEEE Pacific Visualization Symposium,A3,2017-2020
PACIS,Pacific Asia Conference on Information Systems,A2,2017-2020
PACT,International Conference on Parallel Computing Technologies,B2,2017-2020
PACTT,International Conference on Parallel Architectures and Compilation Techniques,A3,2017-2020
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,A2,2017-2020
PAM,Passive and Active Network Measurement Conference,A3,2017-2020
ParCO,International Conference on Parallel Computing,B3,2017-2020
PATAT,International Conference on the Practice and Theory of Automated Timetabling,B4,2017-2020
PATMOS,"International Workshop on Power and Timing Modeling, Optimization and Simulation",B2,2017-2020
PATTERNS,International Conferences on Pervasive Patterns and Applications,B4,2017-2020
PDC,Participatory Design Conference,A3,2017-2020
PDCAT,"International Conference on Parallel and Distributed Computing, Applications and Technologies",B2,2017-2020
PDES,IFAC International Conference on Programmable Devices and Embedded Systems,B4,2017-2020
PDP,"Euromicro International Conference on Parallel, Distributed and Network-Based Processing",A4,2017-2020
PE-WASUN,"ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",B4,2017-2020
PECCS,Pervasive and Embedded Computing and Communication Systems,B4,2017-2020
PERCOM,International Conference on Pervasive Computing and Communications,A2,2017-2020
PerComW,IEEE International Conference on Pervasive Computing and Communication Workshops,B3,2017-2020
PervasiveHealth,International Conference on Pervasive Computing Technologies for Healthcare,A3,2017-2020
PESOS,International Workshop on Principles of Engineering Service-Oriented and Cloud Systems,B4,2017-2020
PETRA,ACM International Conference on PErvasive Technologies Related to Assistive Environments,A4,2017-2020
PG,Pacific Conference on Computer Graphics and Applications,A1,2017-2020
PGM,International Conference on Probabilistic Graphical Models,B3,2017-2020
PIMRC,"International Symposium on Personal, Indoor and Mobile Radio Communications",A2,2017-2020
PKC,International Conference on Practice and Theory in Public Key Cryptography,A2,2017-2020
PLATIAL,International Symposium on Platial Information Science,B4,2017-2020
PLDI,SIGPLAN Conference on Programming Language Design and Implementation,A1,2017-2020
PLOP,Conference on Pattern Languages of Programs,B4,2017-2020
PODC,ACM Symposium on Principles of Distributed Computing,A2,2017-2020
PODS,Symposium on Principles of Database Systems,A2,2017-2020
PoEM,IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling,B1,2017-2020
POPL,Symposium on Principles of Programming Languages,A1,2017-2020
POST,International Conference on Principles of Security and Trust,B1,2017-2020
PP,SIAM Conference on Parallel Processing for Scientific Computing,B4,2017-2020
PPAM,International Conference on Parallel Processing and Applied Mathematics,B3,2017-2020
PPDP,International Symposium on Principles and Practice of Declarative Programming,A4,2017-2020
PPOPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,A2,2017-2020
PPSN,International Conference on Parallel Problem Solving from Nature,A3,2017-2020
PRDC,Pacific Rim International Symposium on Dependable Computing,B1,2017-2020
PredictGIS,International Workshop on Prediction of Human Mobility,B4,2017-2020
PRIMA,nternational Conference on Principles and Practice of Multi-Agent Systems,B2,2017-2020
PrivOn,"Workshop on Society, Privacy and the Semantic Web",B4,2017-2020
PROFES,International Conference on Product-Focused Software Process Improvement,A4,2017-2020
PROMISE,International Conference on Predictive Models and Data Analytics in Software Engineering,A4,2017-2020
PROPOR,International Conference on Computational Processing of the Portuguese Language,A4,2017-2020
PSB,Pacific Symposium on Biocomputing,A2,2017-2020
PSCC,Power Systems Computation Conference,A2,2017-2020
PST,"International Conference on Privacy, Security and Trust",A3,2017-2020
Q2SWinet,ACM Symposium on QoS and Security for Wireless and Mobile Networks,B3,2017-2020
QoMEX,International Workshop on Quality of Multimedia Experience,A2,2017-2020
QUATIC,International Conference on Quality of Information and Communications Technology,B2,2017-2020
RADECS,European Conference on Radiation and its Effects on Components and Systems,B2,2017-2020
RAHA,IEEE Internacional Conference on Robotics and Automation for Humanitarian Applications,B4,2017-2020
RAID,"International Symposium on Research in Attacks, Intrusions, and Defenses",A3,2017-2020
RANLP,International Conference on Recent Advances in Natural Language Processing,A3,2017-2020
RCAR,IEEE International Conference on Real-time Computing and Robotics,B1,2017-2020
RCIS,International Conference on Research Challenges in Information Science,B1,2017-2020
RE,IEEE International Requirements Engineering Conference,A2,2017-2020
REBLS,Workshop on Reactive and Event-Based Languages and Systems,B4,2017-2020
RECOMB,International Conference on Research in Computational Molecular Biology,A3,2017-2020
RECONFIG,International Conference on Reconfigurable Computing and FPGAs,B1,2017-2020
RECOSOC,International Symposium on Reconfigurable Communication-centric Systems-on-Chip,B2,2017-2020
RECSYS,ACM Conference on Recommender Systems,A1,2017-2020
REFSQ,International Working Conference on Requirements Engineering: Foundations for Software Quality,A4,2017-2020
RICE,International Conference on Research in Intelligent and Computing in Engineering,B2,2017-2020
RITA,International Conference on Robot Intelligence Technology and Applications,B3,2017-2020
RO-MAN,IEEE International Symposium on Robot and Human Interactive Communication,A2,2017-2020
ROBIO,IEEE International Conference on Robotics and Biomimetics,A3,2017-2020
ROBOCUP,Robocup International Symposium,A3,2017-2020
RoboSoft,IEEE International Conference on Soft Robotics,A4,2017-2020
ROBOT,Iberian Robotics Conference,B2,2017-2020
RoMoCo,International Workshop on Robot Motion and Control,B2,2017-2020
ROOTS,Reversing and Offensive-Oriented Trends Symposium,B4,2017-2020
ROSE,IEEE International Symposium on Robotic and Sensors Environments,B3,2017-2020
RSP,IEEE International Symposium on Rapid System Prototyping,B3,2017-2020
RSS,Robotics: Science and Systems,A1,2017-2020
RTAS,IEEE REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM,A2,2017-2020
RTCSA,International Conference on Embedded and Real-Time Computing Systems and Applications,A3,2017-2020
RTIS,International Conference on Real Time Intelligent Systems,B3,2017-2020
RTSS,Real-Time Systems Symposium,A3,2017-2020
RuleML+RR,International Joint Conference on Rules and Reasoning,B1,2017-2020
S&P,IEEE Symposium on Security and Privacy,A1,2017-2020
SAC,ACM Symposium on Applied Computing,A2,2017-2020
SACI,IEEE International Symposium on Applied Computational Intelligence and Informatics,B1,2017-2020
SACMAT,ACM Symposium on Access Control Models and Technologies,A4,2017-2020
SACRYPT,Workshop on Selected Areas in Cryptography,A3,2017-2020
SAFECOMP,"International Conference on Computer Safety, Reliability, and Security",A3,2017-2020
SAMOS,"International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation",B1,2017-2020
SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",A1,2017-2020
SARNOFF,IEEE Sarnoff Symposium,B2,2017-2020
SAS,IEEE Sensors Applications Symposium,A3,2017-2020
SAST,Brazilian Symposium on Systematic and Automated Software Testing,B1,2017-2020
SAT,International Conference on Theory and Applications of Satisfiability Testing,A3,2017-2020
SBAC-PAD,International Symposium on Computer Architecture and High Performance Computing,A4,2017-2020
SBACPADW,International Symposium on Computer Architecture and High Performance Computing Workshop,B4,2017-2020
SBAI,Simpósio Brasileiro de Automação Inteligente,B4,2017-2020
SBBD,Simpósio Brasileiro de Banco de Dados,A4,2017-2020
SBCARS,"Brazilian Symposium on Components, Architectures and Reuse Software",B1,2017-2020
SBCAS,Simpósio Brasileiro de Computação Aplicada à Saúde,A4,2017-2020
SBCCI,Symposium on Integrated Circuits and Systems Design,A4,2017-2020
SBCM,Simpósio Brasileiro de Computação Musical,B1,2017-2020
SBCUP,Simpósio Brasileiro de Computação Ubíqua e Pervasiva,B4,2017-2020
SBES,Brazilian Symposium on Software Engineering,A3,2017-2020
SBESC,Brazilian Symposium on Computing Systems Engineering,A4,2017-2020
SBGAMES,Simpósio Brasileiro de Jogos e Entretenimento Digital,A4,2017-2020
SBIAGRO,Congresso Brasileiro de Agroinformática,B4,2017-2020
SBIE,Simpósio Brasileiro de Informática na Educação,A3,2017-2020
SBLP,Brazilian Symposium on Programming Languages,A4,2017-2020
SBMF,Brazilian Symposium on Formal Methods,A4,2017-2020
SBMICRO,Symposium on Microelectronics Technology and Devices,B4,2017-2020
SBPO,Simpósio Brasileiro de Pesquisa Operacional,A4,2017-2020
SBQS,Simpósio Brasileiro de Qualidade de Software,B1,2017-2020
SBRC,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,A4,2017-2020
SBrT,Simpósio Brasileiro de Telecomunicações e Processamento de Sinais,B4,2017-2020
SBSC,Simpósio Brasileiro de Sistemas Colaborativos,B1,2017-2020
SBSeg,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,A4,2017-2020
SBSI,Simpósio Brasileiro de Sistemas de Informação,A4,2017-2020
SBSR,Simpósio Brasileiro de Sensoriamento Remoto,B3,2017-2020
SBTI,Simpósio Brasileiro de Tecnologia da Informação,B4,2017-2020
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis",A1,2017-2020
SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,A3,2017-2020
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,A4,2017-2020
SCCTSA,"International Workshop on Smart City Clouds: Technologies, Systems and Applications",B4,2017-2020
SciVis,IEEE Scientific Visualization,B4,2017-2020
SCOPES,Software and Compilers for Embedded Systems,B2,2017-2020
SDM,SIAM International Conference on Data Mining,A1,2017-2020
SDPC,"International Conference on Sensing, Diagnostics, Prognostics, and Control",B3,2017-2020
SDS,International Conference on Software Defined Systems,A4,2017-2020
SE4Science,International Workshop on Software Engineering for Science,B2,2017-2020
SEA,International Symposium on Experimental Algorithms,A3,2017-2020
SEAA,Euromicro Conference on Software Engineering and Advanced Applications,A4,2017-2020
SeAC,Workshop on Self-Aware Computing,B4,2017-2020
SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,A3,2017-2020
SEC,International Conference on ICT Systems Security and Privacy Protection,A4,2017-2020
SeCoGis,International Workshop on Semantic and Conceptual Issues in Geographic Information Systems,B3,2017-2020
SECON,"IEEE International Conference on Sensing, Communication and Networking",A2,2017-2020
SECRYPT,International Conference on Security and Cryptography,B1,2017-2020
SEFM,International Conference on Software Engineering and Formal Methods,A3,2017-2020
SEGAH,International Conference on Serious Games and Applications for Health,A3,2017-2020
SEKE,International Conference on Software Engineering and Knowledge Engineering,A4,2017-2020
SEMEVAL,International Workshop on Semantic Evaluation,A1,2017-2020
SEMISH,Seminário Integrado de Software e Hardware,A4,2017-2020
SENSORNETS,International Conference on Sensor Networks,B2,2017-2020
SenSys,ACM Conference on Embedded Network Sensor Systems,A2,2017-2020
SEPLN,CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING,B4,2017-2020
SERA,"Software Engineering Research, Management and Applications",B2,2017-2020
SERIAL,Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers,B2,2017-2020
SERP4IoT,International Workshop on Software Engineering Research & Practices for the Internet of Things,B3,2017-2020
SERVICES,IEEE World Congress on Services,B1,2017-2020
SESoS,International Workshop on Software Engineering for Systems-of-Systems,B3,2017-2020
SeWeBMeDA,Workshop on Semantic Web Solutions for Large-Scale Biomedical,B4,2017-2020
SGP,Eurographics Symposium on Geometry Processing,A1,2017-2020
SIBGRAPI,"Conference on Graphics, Patterns and Images",A3,2017-2020
SIES,International Symposium on Industrial Embedded Systems,B2,2017-2020
SIGCOMM,ACM SIGCOMM Conference,A1,2017-2020
SIGCSE,ACM Technical Symposium on Computer Science Education,A2,2017-2020
SIGDIAL,Annual Meeting of the Special Interest Group on Discourse and Dialogue,A2,2017-2020
SIGDOC,ACM International Conference on Design of Communication,B2,2017-2020
SIGGRAPH,International Conference and Exibition on Computer Graphics and Interactive Techniques,A1,2017-2020
SIGGRAPH Asia,ACM International Conference On Computer Graphics & Interactive Techniques / Asia,A1,2017-2020
SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,A1,2017-2020
SIGIReCom,SIGIR Workshop on eCommerce,B4,2017-2020
SIGKDD,ACM International Conference on Knowledge Discovery and Data Mining,B4,2017-2020
SIGMOD,ACM Conference on Management of Data,A1,2017-2020
SIGSE,ACM Technical Symposium on Computer Science Education,A2,2017-2020
SIGSPATIAL,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,A3,2017-2020
SII,IEEE/SICE International Symposium on System Integration,B1,2017-2020
SIIE,Simpósio Internacional de Informática Educatica,B1,2017-2020
SIMBig,Annual International Symposium on Information Management and Big Data,B3,2017-2020
SIMPAR,"IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots",B1,2017-2020
SIMPDA,International Sysmposium on Data-Driven Process Discovery and Analysis,B4,2017-2020
SIMULTECH,"International Conference on Simulation and Modeling Methodologies, Technologies and Applications",B2,2017-2020
SIoT,International Workshop on Secure Internet of Things,B3,2017-2020
SISAP,nternational Conference on Similarity Search and Applications,B1,2017-2020
SLATE,"Symposium on Languages, Applications and Technologies",B3,2017-2020
SLE,ACM SIGPLAN International Conference on Software Language Engineering,A4,2017-2020
SLERD,Conference on Smart Learning Ecosystems and Regional Development,B3,2017-2020
SMARTCOMP,International Conference on Smart Computing,A3,2017-2020
SMARTGREENS,International Conference on Smart Grids and Green ICT Systems,B2,2017-2020
SMARTGRIDCOMM,IEEE International Conference on Smart Grid Communications,A3,2017-2020
SMC,"IEEE International Conference on Systems, Man and Cybernetics",A2,2017-2020
SMusC,Sound and Music Computing Conference,B1,2017-2020
SNAA,Workshop on Social Network Analysis in Applications,B4,2017-2020
SOCA,IEEE Conference on Service-Oriented Computing and Applications,B4,2017-2020
SOCC,IEEE International System-on-Chip Conference,B1,2017-2020
SoCG,International Symposium on Computational Geometry,A3,2017-2020
SOCIALCOM,International Conference on Social Computing,A4,2017-2020
SOCINFO,International Conference on Social Informatics,A3,2017-2020
SoCPaR,International Conference on Soft Computing and Pattern Recognition,B3,2017-2020
SODA,ACM-SIAM Symposium on Discrete Algorithms,A1,2017-2020
SOFSEM,International Conference on Current Trends in Theory and Practice of Computer Science,B2,2017-2020
SOFTCOM,"International Conference on Software, Telecommunications and Computer Networks",A4,2017-2020
