Sigla,Nome do evento,Estrato,quadrienio
CIDR,Biennial Conference on Innovative Data Systems Research,A2,2017-2020
CIG,IEEE Conference on Computational Intelligence and Games,B4,2017-2020
CIKM,ACM International Conference on Information and Knowledge Management,A1,2017-2020
CILAMCE,Iberian Latin American Congress on Computational Methods,B4,2017-2020
CISCI,"Conferencia Iberoamericana en Sistemas, Cibernética e Informática",B4,2017-2020
CISIS,"International Conference on Complex, Intelligent, and Software Intensive Systems",A4,2017-2020
CISTI,Iberian Conference on Information Systems and Technologies,A4,2017-2020
CIT,IEEE International Conference on Computer and Information Technology,B1,2017-2020
CITS,"International Conference on Computer, Information, and Telecommunication Systems",B1,2017-2020
CL,Corpus Linguistics Conference,B3,2017-2020
CLAIO,Latin-Ibero-American Conference on Operations Research,B4,2017-2020
CLEF,Conference and Labs of the Evaluation Forum,B1,2017-2020
CLEI,Conferencia Latinoamericana de Informática,B1,2017-2020
CLIHC,Latin American Conference on Human Computer Interaction,B4,2017-2020
CLOSER,International Conference on Cloud Computing and Services Science,A3,2017-2020
CLOUD,IEEE International Conference on Cloud Computing,A2,2017-2020
CloudCom,IEEE International Conference on Cloud Computing Technology and Science,A3,2017-2020
CLOUDCOMPUTING-IARIA,"IARIA International Conference on Cloud Computing, GRIDs, and Virtualization",B4,2017-2020
CLOUDDB,IEEE International workshop on Cloud data management,B4,2017-2020
CloudNet,IEEE International Conference on Cloud Networking,A4,2017-2020
CLOUDTECH,International Conference on Cloud Computing Technologies and Applications,B4,2017-2020
CLUSTER,IEEE International Conference on Cluster Computing,A3,2017-2020
CMMR,International Symposium on Computer Music Multidisciplinary Research,B1,2017-2020
CMN,Congress on Numerical Methods in Engineering,B4,2017-2020
CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,B4,2017-2020
CNS,IEEE Conference on Communications and Network Security,A2,2017-2020
CNSM,International Conference on Network and Service Management,A4,2017-2020
CoARCH,Workshop On Computing Techniques For Spatio-Temporal Data in Archaeology And Cultural Heritage,B4,2017-2020
COCOA,International Conference on Combinatorial Optimization and Applications,B2,2017-2020
COCOON,International Computing and Combinatorics Conference,A4,2017-2020
CODASPY,ACM Conference on Data and Application Security and Privacy,A2,2017-2020
CODES+ISS,IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis,A3,2017-2020
COG,IEEE Conference on Games,A2,2017-2020
COGNISE,International Workshop on Cognitive Aspects of Information Systems Engineering,B4,2017-2020
COGSCI,Annual Meeting of the Cognitive Science Society,A2,2017-2020
CogSIMA,IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support,B2,2017-2020
ColCACI,IEEE Colombian Conference on Applications in Computational Intelligence,B3,2017-2020
COLING,International Conference on Computational Linguistics,A1,2017-2020
CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",B3,2017-2020
CollabTech,International Conference on Collaboration Technologies and Social Computing,B4,2017-2020
COLT,Conference on Learning Theory,A1,2017-2020
CoMeSySo,Computational Methods in Systems and Software,B2,2017-2020
COMMA,International Conference on Computational Models of Argument,A4,2017-2020
COMPSAC,IEEE Computer Software and Applications Conference,A2,2017-2020
COMSNETS,International Conference on Communication Systems & NetworkS,A3,2017-2020
COMSOC,International Workshop on Computational Social Choice,B4,2017-2020
CONCUR,International Conference on Concurrency Theory,A3,2017-2020
CONEXT,Conference on Emerging Network Experiment and Technology,A2,2017-2020
CONFIRM,International Conference on Information Resources Management,B2,2017-2020
CONISOFT,International Conference in Software Engineering Research and Innovation,B2,2017-2020
CoNLL,Conference on Natural Language Learning,A1,2017-2020
CONTECSI,International Conference on Information Systems and Technology Management,B3,2017-2020
CONTEXT-BPM,International Workshop on Context for Business Process Management,B4,2017-2020
CONTROLO,APCA International Conference on Automatic Control and Soft Computing,B3,2017-2020
CoopIS,International Conference on Cooperative Information Systems,B3,2017-2020
CoRL,Conference on Robot Learning,A1,2017-2020
COSIT,International Conference on Spatial Information Theory,B2,2017-2020
COSN,Conference on Online Social Networks,B4,2017-2020
COURB,Workshop of Urban Computing,B4,2017-2020
CP,International Conference on Principles and Practice of Constraint Programming,A3,2017-2020
CPM,Annual Symposium on Combinatorial Pattern Matching,B1,2017-2020
CPP,International Conference on Certified Programs and Proofs,A3,2017-2020
CRIWG,International Workshop on Groupware,B3,2017-2020
CrownCom,International Conference on Cognitive Radio Oriented Wireless Networks,B2,2017-2020
CRV,Canadian Conference on Computer and Robot Vision,A4,2017-2020
CRYPTO,International Cryptology Conference,A1,2017-2020
CSBC,Congresso da Sociedade Brasileira de Computação,B4,2017-2020
CSBIO,International Conference on Computational Systems-Biology and Bioinformatics,B2,2017-2020
CSCL,International Conference on Computer Supported Collaborative Learning,A4,2017-2020
CSCN,IEEE Conference on Standards for Communications and Networking,A3,2017-2020
CSCW,ACM Conference on Computer Supported Cooperative Work & Social Computing,A1,2017-2020
CSCWD,IEEE International Conference on Computer Supported Cooperative Work in Design,A3,2017-2020
CSDS,Conference of the System Dynamics Society,B3,2017-2020
CSE,International Conference on Computational Science and Engineering,A4,2017-2020
CSEDU,International Conference on Computer Supported Education,A3,2017-2020
CSEE&T,Conference on Software Engineering Education and Training,A3,2017-2020
CSF,IEEE Computer Security Foundations Symposium,A2,2017-2020
CSI-SE,International Workshop on Crowdsourcing in Software Engineering,B2,2017-2020
CSL,Conference for Computer Science Logic,A3,2017-2020
CSMC,Conference on Computer Simulation of Musical Creativity,B3,2017-2020
CSNDSP,"International Symposium on Communication Systems, Networks and Digital Signal Processing",A4,2017-2020
CSNet,Cyber Security in Networking Conference,B1,2017-2020
CSOUND,International CSound Conference,B3,2017-2020
CTE,International Conference on Computational Thinking Education,B2,2017-2020
CTS,International Conference on Collaboration and Technology,B4,2017-2020
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A1,2017-2020
CVPRW,IEEE Conference on Computer Vision and Pattern Recognition Workshops,B3,2017-2020
CyberSA,"International Conference on Cyber Situational Awareness, Data Analytics and Assessment",B2,2017-2020
CyberSecurity,International Conference on Cyber Security And Protection Of Digital Services,B1,2017-2020
DAC,Design Automation Conference,A1,2017-2020
